CUST_ID,BALANCE_FREQUENCY,PURCHASES,PAYMENTS,CREDIT_LIMIT,CASH_ADVANCE
C10001,0.818182,95.4,201.802084,1000.0,0.0
C10002,0.909091,0.0,4103.032597,7000.0,6442.945483
C10003,1.0,773.17,622.066742,7500.0,0.0
C10004,0.636364,1499.0,0.0,7500.0,205.788017
C10005,1.0,16.0,678.334763,1200.0,0.0
C10006,1.0,1333.28,1400.05777,1800.0,0.0
C10007,1.0,7091.01,6354.314328,13500.0,0.0
C10008,1.0,436.2,679.065082,2300.0,0.0
C10009,1.0,861.49,688.278568,7000.0,0.0
C10010,0.545455,1281.6,1164.770591,11000.0,0.0
C10011,1.0,920.12,1083.301007,1200.0,0.0
C10012,0.818182,1492.18,705.618627,2000.0,0.0
C10013,1.0,3217.99,608.263689,3000.0,0.0
C10014,1.0,2137.93,1655.891435,7500.0,0.0
C10015,1.0,0.0,805.647974,3000.0,346.81139
C10016,1.0,1611.7,1993.439277,8000.0,2301.491267
C10017,0.875,0.0,391.974562,3000.0,2784.274703
C10018,0.454545,519.0,254.590662,2500.0,0.0
C10019,1.0,504.35,1720.837373,13000.0,0.0
C10020,1.0,398.64,1053.980464,4000.0,0.0
C10021,1.0,176.68,223.0686,2000.0,0.0
C10022,1.0,6359.95,2077.959051,11250.0,229.028245
C10023,0.636364,815.9,2359.629958,1800.0,0.0
C10024,0.818182,4248.35,9479.043842,9000.0,7974.415626
C10025,1.0,0.0,1422.726707,6000.0,798.949863
C10026,1.0,399.6,215.306142,3000.0,0.0
C10027,1.0,102.0,890.178845,1700.0,244.840485
C10028,1.0,233.28,207.773715,1000.0,0.0
C10029,1.0,387.05,1601.448347,10500.0,2236.145259
C10030,1.0,100.0,160.767773,6900.0,0.0
C10031,1.0,3038.01,4230.323491,13000.0,3183.583301
C10032,1.0,1347.71,645.998299,6000.0,175.815755
C10033,1.0,324.95,1720.118876,10500.0,1189.533753
C10034,1.0,636.79,423.449696,1200.0,0.0
C10035,0.727273,547.28,8735.607835,11000.0,0.0
C10036,1.0,0.0,351.500199,1800.0,99.264367
C10037,1.0,0.0,1636.361601,9000.0,8873.375046
C10038,1.0,2380.55,1617.894416,5000.0,1697.660901
C10039,1.0,204.0,1237.111661,9000.0,2925.699862
C10040,0.454545,963.24,20071.07544,7500.0,6173.682877
C10041,0.727273,0.0,3067.05783,1800.0,3133.063934
C10043,0.909091,1526.59,1262.309666,3000.0,2188.419607
C10044,1.0,203.82,868.275275,4500.0,0.0
C10045,1.0,0.0,378.294227,1500.0,1481.587093
C10046,1.0,1525.44,1430.341501,8500.0,0.0
C10047,1.0,437.0,0.0,2400.0,184.648692
C10048,0.5,109.74,176.013005,1700.0,1013.659552
C10049,1.0,0.0,0.0,4200.0,1980.873201
C10050,1.0,2390.6,2543.953559,3300.0,0.0
C10051,1.0,507.5,587.866451,4000.0,695.097159
C10052,1.0,901.42,8113.297346,12000.0,8530.648614
C10053,1.0,3107.85,1399.82834,2500.0,0.0
C10054,1.0,0.0,691.825279,3500.0,321.359135
C10055,0.888889,1979.22,3110.052742,3000.0,1981.265503
C10056,0.636364,310.0,417.016763,1000.0,0.0
C10057,1.0,1283.9,0.0,6000.0,0.0
C10058,1.0,313.27,0.0,4000.0,668.468743
C10059,1.0,5217.62,5678.729613,7500.0,0.0
C10060,1.0,0.0,764.938728,4000.0,224.575517
C10061,1.0,229.0,2110.557023,6000.0,970.591332
C10062,0.727273,113.0,3509.686561,6500.0,0.0
C10063,1.0,66.2,338.083661,1600.0,0.0
C10064,0.909091,0.0,4372.148648,4150.0,3819.672466
C10065,0.090909,840.0,0.0,1600.0,0.0
C10067,1.0,1887.64,3688.045998,1850.0,1605.949371
C10068,1.0,412.33,777.451648,1800.0,0.0
C10069,0.875,0.0,146.074769,1500.0,908.423608
C10070,1.0,0.0,540.022225,2500.0,382.908547
C10071,1.0,263.5,6876.836205,6000.0,0.0
C10072,1.0,1363.69,1623.816348,1700.0,0.0
C10073,1.0,419.1,1288.214909,6250.0,625.399386
C10074,0.909091,4523.27,28232.69446,7000.0,27296.48576
C10075,1.0,0.0,910.457985,7000.0,1474.349901
C10077,1.0,713.9,889.017418,2250.0,0.0
C10078,0.909091,791.94,1305.177304,6000.0,0.0
C10079,1.0,561.87,1990.044998,6000.0,0.0
C10080,1.0,606.11,2959.920544,11000.0,0.0
C10081,1.0,320.0,1438.910569,1500.0,0.0
C10082,1.0,0.0,29.278671,1200.0,38.325801
C10083,1.0,388.66,1624.583114,7000.0,4621.93458
C10084,0.909091,244.85,357.802082,5000.0,0.0
C10085,0.272727,0.0,116.569033,9500.0,2985.300006
C10086,0.636364,133.05,210.053432,12000.0,0.0
C10087,0.545455,396.0,725.606194,1200.0,0.0
C10088,1.0,4915.6,4921.066897,9000.0,293.844792
C10089,1.0,1247.8,1275.229436,16500.0,0.0
C10090,1.0,1603.78,4589.873897,11000.0,5626.004046
C10092,1.0,2258.01,3021.575846,13500.0,5251.228934
C10093,1.0,45.0,1073.844885,4500.0,104.238064
C10094,1.0,0.0,1502.205631,6500.0,2717.253917
C10095,1.0,5100.07,6409.496345,9000.0,370.737197
C10096,1.0,1032.04,3056.424974,4000.0,4335.919227
C10097,1.0,45.65,440.840439,1800.0,495.657934
C10098,1.0,405.6,0.0,2400.0,0.0
C10099,1.0,213.34,0.0,2400.0,0.0
C10100,1.0,0.0,151.823651,1200.0,120.612912
C10101,1.0,739.44,417.128532,6000.0,0.0
C10102,1.0,0.0,0.0,4000.0,1713.984305
C10103,0.363636,79.0,217.820198,7000.0,0.0
C10104,0.0,0.0,138.021428,3000.0,89.849004
C10105,0.666667,20.0,26.487919,1500.0,0.0
C10106,0.272727,1346.28,712.149153,2000.0,0.0
C10107,1.0,2823.8,9172.788366,5700.0,0.0
C10108,0.090909,389.96,0.0,4500.0,0.0
C10109,1.0,0.0,2236.890255,4000.0,920.309805
C10110,1.0,808.0,532.741699,4000.0,959.857263
C10111,1.0,941.64,1097.78942,2500.0,0.0
C10112,1.0,0.0,1241.538024,8000.0,5439.467563
C10113,1.0,423.7,577.050373,2000.0,412.399058
C10114,1.0,4478.75,10857.94321,9000.0,7205.520805
C10115,0.818182,1354.86,858.976682,5500.0,0.0
C10116,1.0,0.0,0.0,4200.0,1008.348672
C10117,1.0,2812.2,1509.423237,8500.0,2510.352951
C10118,1.0,0.0,1277.76778,7000.0,3360.228794
C10119,0.818182,1508.9,1884.227778,5000.0,0.0
C10120,1.0,1045.57,552.432305,3000.0,0.0
C10121,0.636364,2309.78,1206.81188,6500.0,0.0
C10122,1.0,0.0,687.691735,1800.0,576.206382
C10123,0.272727,495.0,1969.845566,7000.0,0.0
C10124,1.0,0.0,932.418855,3000.0,509.023801
C10125,1.0,6724.26,1888.756861,17000.0,1686.599777
C10126,1.0,1174.39,0.0,9000.0,0.0
C10127,1.0,5580.85,3564.977774,8500.0,0.0
C10128,1.0,0.0,1065.426905,3200.0,998.84867
C10130,1.0,0.0,3066.614272,19000.0,4614.427403
C10131,1.0,12462.44,11628.71557,2800.0,0.0
C10132,0.75,0.0,385.853874,1200.0,272.713302
C10133,1.0,1957.3,1004.35474,5000.0,0.0
C10134,1.0,150.64,2606.059389,17000.0,8362.154254
C10135,0.090909,0.0,0.0,13000.0,2799.714934
C10136,0.272727,907.0,0.0,5000.0,273.558033
C10137,1.0,1271.12,1906.032044,5000.0,0.0
C10138,0.636364,250.6,319.762903,3000.0,0.0
C10139,1.0,796.33,10664.65866,13000.0,13748.47131
C10140,1.0,440.0,554.116542,4000.0,0.0
C10141,1.0,1330.62,1020.783647,2000.0,0.0
C10142,1.0,5491.79,1015.311953,17000.0,0.0
C10143,1.0,897.86,972.358048,1200.0,586.268966
C10144,1.0,22009.92,23018.57583,18000.0,0.0
C10145,1.0,720.6,1061.292471,2500.0,723.308724
C10146,1.0,197.06,492.200419,1000.0,0.0
C10147,0.818182,0.0,1566.806897,7500.0,1307.102516
C10148,1.0,0.0,0.0,7000.0,4002.353384
C10149,1.0,2084.48,3219.621433,21500.0,0.0
C10150,1.0,5779.36,4416.41268,6500.0,0.0
C10151,1.0,1025.0,698.854095,7500.0,0.0
C10152,0.909091,689.7,746.691026,10000.0,0.0
C10153,1.0,28.65,1235.630069,9000.0,384.26178
C10154,0.909091,944.96,1955.198953,1500.0,0.0
C10155,1.0,1039.2,1855.235407,13500.0,103.102091
C10156,1.0,4059.93,3685.61062,7000.0,555.469352
C10157,1.0,4075.37,2254.26002,6500.0,0.0
C10158,1.0,870.24,835.839952,8000.0,0.0
C10159,1.0,9792.23,11717.30794,20000.0,2444.445738
C10160,0.636364,2463.12,2573.722764,4000.0,0.0
C10161,0.363636,1859.34,3104.275623,20000.0,0.0
C10162,1.0,3488.49,0.0,7900.0,3303.1523
C10163,1.0,0.0,363.474455,1800.0,66.275851
C10164,1.0,7283.31,14373.3929,11000.0,0.0
C10165,1.0,295.0,439.407082,1200.0,93.579809
C10166,1.0,0.0,778.827993,3000.0,429.691164
C10167,1.0,0.0,1009.185035,8500.0,988.356213
C10168,1.0,648.22,1110.886425,1200.0,0.0
C10169,1.0,557.19,422.711848,4000.0,0.0
C10170,1.0,469.98,367.109312,1000.0,0.0
C10171,1.0,0.0,1346.365584,6500.0,369.950794
C10172,0.363636,131.64,2916.071564,8000.0,0.0
C10173,1.0,5078.14,4756.654374,15000.0,1424.442602
C10174,1.0,924.6,1202.711782,1000.0,0.0
C10175,1.0,1975.4,1795.012223,4000.0,0.0
C10176,0.666667,0.0,3621.266477,4000.0,3671.777443
C10177,1.0,10221.35,10693.49585,10500.0,1620.685551
C10178,0.363636,300.0,291.948834,12500.0,0.0
C10179,0.857143,0.0,1423.788603,3000.0,3905.326256
C10180,1.0,5715.0,4639.513745,14000.0,1626.351366
C10181,1.0,0.0,470.565984,1800.0,205.737165
C10182,1.0,766.61,0.0,2300.0,1017.120578
C10183,1.0,0.0,2431.578544,3000.0,2040.433925
C10184,1.0,3535.8,2814.231227,20000.0,0.0
C10185,0.454545,256.11,831.375322,5300.0,0.0
C10186,1.0,2697.48,1686.196344,2500.0,0.0
C10187,0.0,23.0,0.0,5000.0,0.0
C10188,1.0,117.0,17301.83238,4500.0,17661.49486
C10189,0.090909,196.81,0.0,12000.0,0.0
C10190,1.0,653.73,441.588141,10000.0,0.0
C10191,0.818182,2009.05,2612.760497,1200.0,0.0
C10192,1.0,147.78,1186.062765,6000.0,1657.090283
C10193,1.0,516.54,579.749308,900.0,0.0
C10194,1.0,969.56,0.0,2400.0,446.233197
C10196,1.0,311.45,277.522439,1500.0,955.959749
C10197,0.727273,280.4,254.392984,6150.0,0.0
C10198,1.0,66.14,0.0,6000.0,0.0
C10199,0.363636,79.2,1647.880773,4000.0,1631.576375
C10200,1.0,1453.32,1382.269127,16500.0,0.0
C10201,1.0,756.54,1110.870941,4000.0,0.0
C10202,1.0,3507.35,1412.597253,11500.0,0.0
C10203,0.818182,3163.69,2422.911622,8000.0,0.0
C10204,0.909091,1343.19,1043.55929,15000.0,0.0
C10205,1.0,873.0,541.722532,8000.0,0.0
C10206,1.0,47.55,2976.579866,6000.0,2039.52804
C10207,0.454545,370.0,1212.054219,23000.0,0.0
C10208,0.909091,405.75,1249.835142,2000.0,1044.651618
C10209,0.909091,261.64,376.758504,4000.0,0.0
C10211,1.0,1989.28,4720.900413,14000.0,893.757903
C10212,1.0,10848.5,9423.715495,7500.0,0.0
C10213,0.090909,43.39,130.107234,4000.0,0.0
C10214,1.0,645.32,2591.391006,1800.0,1665.331678
C10215,1.0,987.1,1941.541158,10500.0,5468.620604
C10216,1.0,1464.14,1658.563509,11500.0,3947.86784
C10217,0.454545,927.0,1260.16384,5000.0,0.0
C10218,1.0,393.62,1919.630466,10000.0,5933.467329
C10219,1.0,965.5,1034.932404,7500.0,0.0
C10220,0.818182,0.0,4543.63481,7500.0,102.275984
C10221,1.0,336.41,947.696134,6000.0,0.0
C10222,0.727273,540.0,548.967281,4000.0,0.0
C10223,0.181818,36.0,0.0,7500.0,0.0
C10224,1.0,878.52,542.836917,1500.0,197.648111
C10226,0.545455,144.26,134.710832,11500.0,0.0
C10227,1.0,493.85,2795.059574,2000.0,1738.33378
C10228,1.0,4490.69,5763.666926,8500.0,188.783221
C10229,1.0,11188.62,11994.41815,10000.0,0.0
C10230,1.0,1829.2,971.234118,7000.0,0.0
C10231,0.857143,75.99,69.163384,2700.0,0.0
C10232,1.0,1824.16,1508.016452,14500.0,0.0
C10233,1.0,9325.22,11036.72668,8500.0,0.0
C10234,1.0,100.0,125.769169,4000.0,0.0
C10235,1.0,1431.89,2384.542045,4000.0,0.0
C10236,1.0,2260.41,2187.930651,8500.0,0.0
C10237,0.333333,0.0,1068.581252,1200.0,466.643895
C10238,0.909091,10410.49,9695.650901,19500.0,0.0
C10239,1.0,990.7,505.317328,1400.0,0.0
C10240,1.0,3034.92,2928.909865,2900.0,0.0
C10241,1.0,1038.81,1215.454299,5700.0,1092.634704
C10242,1.0,45.65,542.7463,2500.0,0.0
C10243,1.0,2641.98,1839.928884,3000.0,263.884743
C10244,1.0,1189.52,0.0,8000.0,0.0
C10245,1.0,300.0,1975.974183,12000.0,2800.728343
C10246,1.0,126.69,2515.435738,10500.0,154.341344
C10247,0.545455,247.09,409.594792,5500.0,182.357669
C10248,1.0,301.1,586.974046,1950.0,0.0
C10249,0.818182,1112.2,0.0,7200.0,7616.064965
C10250,0.636364,2410.07,3773.727455,4000.0,0.0
C10251,1.0,5350.19,5825.602115,8000.0,0.0
C10252,1.0,630.03,426.092563,5500.0,0.0
C10253,1.0,3197.24,3574.480603,3000.0,0.0
C10254,0.363636,133.0,130.61272,3000.0,0.0
C10255,1.0,1646.16,1055.835407,12000.0,0.0
C10256,1.0,79.66,75.896288,1500.0,0.0
C10257,1.0,319.92,10993.89211,12000.0,13439.5704
C10258,1.0,3677.52,2657.856602,12500.0,0.0
C10259,1.0,1041.63,3033.665478,4000.0,4003.968939
C10260,1.0,675.96,1851.602411,1000.0,0.0
C10261,1.0,193.14,220.46377,2000.0,0.0
C10262,1.0,1703.23,1449.039414,11500.0,0.0
C10263,1.0,0.0,1350.318606,6000.0,468.958688
C10265,0.363636,234.16,479.910499,1500.0,0.0
C10266,0.818182,29.68,76.943584,10000.0,0.0
C10267,1.0,1322.67,802.38543,11000.0,774.260436
C10269,1.0,1607.88,1583.411686,13500.0,0.0
C10270,1.0,0.0,2166.981163,1800.0,1716.941235
C10271,0.818182,3183.0,3823.346244,9000.0,0.0
C10272,1.0,3014.23,1350.370286,4500.0,103.610197
C10273,1.0,7323.38,3792.095079,3000.0,191.331735
C10274,1.0,8533.54,4758.209146,10000.0,7540.30735
C10275,0.727273,408.93,2161.153147,9000.0,0.0
C10276,1.0,3999.92,5624.074339,7500.0,0.0
C10277,1.0,2980.46,1116.967993,6000.0,0.0
C10278,1.0,560.73,717.798364,7500.0,0.0
C10279,1.0,569.9,634.000055,9500.0,0.0
C10280,1.0,6186.77,11198.92613,10950.0,1898.690655
C10281,1.0,4550.81,4317.191232,8500.0,438.469118
C10282,1.0,150.8,990.524408,7500.0,1659.19931
C10283,1.0,1385.1,1280.473571,14000.0,0.0
C10284,1.0,32539.78,26652.34432,11500.0,0.0
C10285,1.0,410.24,12005.3074,16500.0,15452.97758
C10286,0.181818,47.95,294.507498,1500.0,0.0
C10287,1.0,126.57,483.557464,2100.0,181.139378
C10288,0.272727,380.89,0.0,5700.0,0.0
C10289,1.0,414.0,5863.94034,10500.0,0.0
C10290,1.0,2010.0,859.829946,8500.0,1189.292764
C10291,1.0,4693.15,4786.64868,13500.0,0.0
C10292,1.0,498.96,829.505486,1000.0,72.259355
C10293,1.0,224.2,568.336995,9500.0,0.0
C10294,1.0,2856.57,2914.419813,2500.0,0.0
C10295,0.818182,0.0,2755.877257,3000.0,682.156051
C10296,1.0,0.0,6010.525656,7000.0,9270.408108
C10297,1.0,0.0,871.713321,3000.0,567.233798
C10298,1.0,409.63,580.13865,5000.0,1876.241162
C10299,0.636364,843.34,1024.267592,6500.0,0.0
